station_code,location,state,temperature_c,do_mg_l,ph,conductivity_umhos_cm,bod_mg_l,nitrate_nitrite_mg_l,fecal_coliform_mpn_100ml,total_coliform_mpn_100ml,year
1567,"KUTTIYADY ESTATE, KERALA",KERALA,29.0,7.033,6.533,141.3,0.533,0.135,193.0,740.0,2006
1568,"VALAYAM, KERALA",KERALA,28.75,6.633,7.067,237.0,0.633,0.45,337.0,800.0,2006
1569,"THALIPARAMBA, KERALA",KERALA,28.0,6.833,7.0,18389.0,0.7,0.345,173.0,583.0,2006
1570,"HOSDURG, KERALA",KERALA,29.5,6.333,7.167,24535.7,0.7,0.332,140.0,447.0,2006
1571,"KAKKADAVU, KERALA",KERALA,28.0,7.033,7.033,241.0,0.267,0.232,345.0,1260.0,2006
1572,"PADIYATHADKA, KERALA",KERALA,28.5,7.0,7.133,302.0,0.7,0.168,323.0,933.0,2006
1573,"IRUMPANAM, KERALA",KERALA,29.0,3.5,6.567,1285.3,2.133,0.347,220.0,443.0,2006
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,27.25,6.825,7.125,299.3,3.667,1.525,316.0,771.0,2006
,"DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT",GUJARAT,26.0,7.2,7.84,342.8,1.764,0.528,78.0,230.0,2005
,"DAMANGANGA AT KACHIGAON D\S (DAMAN),GUJARAT",GUJARAT,27.0,5.0,7.22,18370.3,19.663,0.452,9625.0,13525.0,2005
,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,29.0,7.2,7.42,246.9,4.632,0.791,10011.0,118311.0,2005
,"MANDOVI AT TONCA, MARCELA, GOA",GOA,29.0,7.8,6.69,255.9,2.754,0.348,13.0,140.0,2005
,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,29.0,6.7,7.35,346.1,1.893,0.973,13.0,148.0,2005
,"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,28.0,8.3,6.68,348.9,2.503,1.686,13.0,155.0,2005
,"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,28.0,8.1,6.18,187.4,2.375,0.196,12.0,155.0,2005
,"RIVER MADAI AT DABOS NAN VALPOI, GOA",GOA,29.0,7.7,6.55,121.8,2.242,1.136,13.0,164.0,2005
,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",GOA,29.0,8.6,6.56,181.4,2.423,0.276,24.0,155.0,2005
,"RIVER TALPONA AT CANACONA, GOA",GOA,28.0,7.7,6.45,302.5,2.144,0.163,10.0,142.0,2005
,"RIVER ASSONORA AT ASSONORA, GOA",GOA,28.0,7.4,6.07,142.8,1.681,0.276,12.0,140.0,2005
,"AMBIKA AT BILIMORA, GUJARAT",GUJARAT,27.0,7.0,8.16,4545.0,4.165,0.343,9593.0,27550.0,2005
,"KOLAK AT PATALIA BDG., GUJARAT",GUJARAT,27.0,5.9,7.36,761.0,6.1,0.083,1200.0,4600.0,2005
,"KOLAK AT RAILWAY BRIDGE NO. 313 VAPI,VALSAD, GUJARAT",GUJARAT,27.0,4.1,7.57,29369.3,7.08,0.302,1035.0,1993.0,2005
,"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT",GUJARAT,27.0,3.9,5.27,5914.0,441.8,0.512,3.0,10.0,2005
,"BHADAR D/S JETPUR VILL. AFTER CONF. OF W.WATER FROM JETPUR CITY,GUJARAT",GUJARAT,27.0,5.7,7.62,665.0,2.12,0.86,1050.0,6000.0,2005
,"MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN, GUJARAT",GUJARAT,27.0,6.1,8.0,602.5,5.64,1.035,38143.0,38428.0,2005
,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,27.0,7.1,7.2,280.5,1.6,0.48,74.0,95.0,2005
,"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,27.0,5.9,6.6,1359.5,1.755,0.326,170.0,387.0,2005
,"PERIYAR AT KALADY, KERALA",KERALA,27.0,7.4,6.68,39.3,1.164,0.204,125.0,298.0,2005
,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,27.0,7.1,6.75,41.9,1.325,0.18,147.0,378.0,2005
,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,27.0,6.8,6.92,70.8,0.458,0.117,151.0,353.0,2005
,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,27.0,6.8,6.98,7179.1,0.475,0.206,211.0,466.0,2005
,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,27.0,6.8,7.03,36.8,1.117,0.146,118.0,624.0,2005
,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,27.0,7.2,6.76,59.8,1.692,0.449,127.0,357.0,2005
,"CHALAKUDY AT PULICKALKANANDAVU, KERALA",KERALA,27.0,6.2,6.63,106.8,1.275,0.444,128.0,360.0,2005
,"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,27.0,6.6,6.77,250.7,1.383,1.54,2433.0,3383.0,2005
,"PAMBA AT CHENGANNUR, KERALA",KERALA,27.0,6.9,6.95,51.3,0.625,0.518,1525.0,3100.0,2005
,"PAMBA AT THAKAZHY, KERALA",KERALA,27.0,6.0,6.75,641.0,0.975,0.792,1900.0,3600.0,2005
,"PAMBA DOWN, KERALA",KERALA,27.0,5.4,6.85,73.3,1.075,0.457,4955.0,8375.0,2005
,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,27.0,6.7,6.93,65.0,0.675,0.77,2100.0,4200.0,2005
,"MANIMALA AT KALLOOPARA, KERALA",KERALA,27.0,6.9,6.85,56.3,0.575,0.383,1933.0,3400.0,2005
,"MANIMALA AT THONDRA, KERALA",KERALA,27.0,6.5,6.98,59.3,0.575,0.345,1333.0,2600.0,2005
,"ACHENKOIL AT THUMPAMON, KERALA",KERALA,27.0,6.8,7.06,63.3,0.567,0.404,1769.0,2825.0,2005
,"ACHENKOIL AT CHENNITHULA, KERALA",KERALA,27.0,5.8,6.73,73.0,0.7,0.315,1925.0,3500.0,2005
,"VAMANAPURAM, KERALA",KERALA,27.0,6.8,6.8,69.8,0.7,0.61,1100.0,1775.0,2005
,"AMARAVILA, KERALA",KERALA,27.0,7.1,6.83,80.0,0.7,0.835,850.0,1475.0,2005
,"AYUR, KERALA",KERALA,27.0,6.3,7.15,65.5,1.05,0.223,98.0,595.0,2005
,"THIRURANGADY, KERALA",KERALA,27.0,6.3,6.95,77.5,0.65,0.208,253.0,775.0,2005
,"KUTTIYADY ESTATE, KERALA",KERALA,27.0,6.9,6.65,34.0,0.5,0.095,130.0,215.0,2005
,"VALAYAM, KERALA",KERALA,27.0,6.4,6.75,49.3,0.675,0.193,197.0,350.0,2005
,"THALIPARAMBA, KERALA",KERALA,27.0,6.8,7.35,18568.3,1.15,0.14,215.0,660.0,2005
,"HOSDURG, KERALA",KERALA,27.0,6.8,7.08,19740.8,0.975,0.165,127.0,515.0,2005
,"KAKKADAVU, KERALA",KERALA,27.0,7.1,6.98,58.3,0.55,0.152,123.0,510.0,2005
,"PADIYATHADKA, KERALA",KERALA,27.0,7.0,7.23,67.5,0.425,0.09,140.0,453.0,2005
,"IRUMPANAM, KERALA",KERALA,27.0,2.4,6.43,1041.3,2.025,1.05,133.0,373.0,2005
,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA,27.0,6.7,7.56,128.4,4.942,0.447,11.0,250.0,2005
,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA,27.0,6.8,7.68,123.2,4.475,0.4,12.0,236.0,2005
,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,27.0,6.5,7.33,135.8,4.4,0.33,13.0,208.0,2005
,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,27.0,5.1,7.45,5168.8,9.875,1.81,7.0,210.0,2005
,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,27.0,6.5,7.34,128.5,5.125,0.819,11.0,230.0,2005
